id,week_number,attendance,assignment,marks,comments,user
260,10,86,92,66,Week 10 good.,27
261,1,93,75,80,Week 1 good.,28
262,2,91,75,76,Week 2 good.,28
263,3,89,100,66,Week 3 good.,28
264,4,89,61,98,Week 4 good.,28
265,5,82,81,93,Week 5 good.,28
266,6,81,89,72,Week 6 good.,28
267,7,93,94,58,Week 7 good.,28
268,8,97,67,63,Week 8 good.,28
269,9,85,96,71,Week 9 good.,28
270,10,87,95,62,Week 10 good.,28
271,1,82,95,82,Week 1 good.,29
272,2,82,72,67,Week 2 good.,29
273,3,97,92,67,Week 3 good.,29
274,4,97,70,64,Week 4 good.,29
275,5,97,85,69,Week 5 good.,29
276,6,94,73,90,Week 6 good.,29
277,7,92,61,62,Week 7 good.,29
278,8,82,76,52,Week 8 good.,29
279,9,98,72,80,Week 9 good.,29
280,10,81,83,96,Week 10 good.,29
281,1,99,79,72,Week 1 good.,30
282,2,100,68,80,Week 2 good.,30
283,3,93,71,63,Week 3 good.,30
284,4,82,81,51,Week 4 good.,30
285,5,80,76,82,Week 5 good.,30
286,6,83,90,90,Week 6 good.,30
287,7,96,94,59,Week 7 good.,30
288,8,99,73,63,Week 8 good.,30
289,9,85,76,52,Week 9 good.,30
290,10,84,77,93,Week 10 good.,30
291,1,89,84,82,Week 1 good.,31
292,2,90,87,62,Week 2 good.,31
293,3,88,95,57,Week 3 good.,31
294,4,84,80,93,Week 4 good.,31
295,5,81,63,66,Week 5 good.,31
296,6,86,68,81,Week 6 good.,31
297,7,89,93,88,Week 7 good.,31
298,8,92,94,80,Week 8 good.,31
299,9,88,72,65,Week 9 good.,31
300,10,96,81,72,Week 10 good.,31
301,1,98,76,92,Week 1 good.,32
302,2,89,72,90,Week 2 good.,32
303,3,83,66,52,Week 3 good.,32
304,4,80,88,79,Week 4 good.,32
305,5,85,70,55,Week 5 good.,32
306,6,81,75,79,Week 6 good.,32
307,7,85,64,92,Week 7 good.,32
308,8,84,72,87,Week 8 good.,32
309,9,84,87,74,Week 9 good.,32
310,10,89,88,87,Week 10 good.,32
311,1,100,71,73,Week 1 good.,33
312,2,98,87,77,Week 2 good.,33
313,3,90,100,78,Week 3 good.,33
314,4,91,89,99,Week 4 good.,33
315,5,95,72,89,Week 5 good.,33
316,6,93,66,67,Week 6 good.,33
317,7,91,81,80,Week 7 good.,33
318,8,84,70,96,Week 8 good.,33
319,9,83,89,59,Week 9 good.,33
320,10,84,62,97,Week 10 good.,33
321,1,84,93,87,Week 1 good.,34
322,2,92,64,67,Week 2 good.,34
323,3,82,84,99,Week 3 good.,34
324,4,84,84,95,Week 4 good.,34
325,5,88,69,61,Week 5 good.,34
326,6,86,85,72,Week 6 good.,34
327,7,83,75,79,Week 7 good.,34
328,8,98,93,95,Week 8 good.,34
329,9,95,81,63,Week 9 good.,34
330,10,88,60,64,Week 10 good.,34
331,1,86,78,100,Week 1 good.,35
332,2,84,82,83,Week 2 good.,35
333,3,87,92,82,Week 3 good.,35
334,4,88,87,51,Week 4 good.,35
335,5,82,63,94,Week 5 good.,35
336,6,81,81,79,Week 6 good.,35
337,7,81,73,90,Week 7 good.,35
338,8,92,61,50,Week 8 good.,35
339,9,86,92,69,Week 9 good.,35
340,10,85,82,66,Week 10 good.,35
341,1,84,71,50,Week 1 good.,36
342,2,96,97,59,Week 2 good.,36
343,3,100,66,80,Week 3 good.,36
344,4,88,84,87,Week 4 good.,36
345,5,83,83,64,Week 5 good.,36
346,6,100,61,68,Week 6 good.,36
347,7,88,83,68,Week 7 good.,36
348,8,84,94,85,Week 8 good.,36
349,9,86,82,75,Week 9 good.,36
350,10,100,65,52,Week 10 good.,36
351,1,90,95,91,Week 1 good.,37
352,2,89,64,59,Week 2 good.,37
353,3,99,83,85,Week 3 good.,37
354,4,88,85,74,Week 4 good.,37
355,5,95,88,81,Week 5 good.,37
356,6,89,64,61,Week 6 good.,37
357,7,90,71,69,Week 7 good.,37
358,8,88,68,64,Week 8 good.,37
359,9,95,87,73,Week 9 good.,37
360,10,86,60,80,Week 10 good.,37
361,1,99,87,73,Week 1 good.,38
362,2,90,68,58,Week 2 good.,38
363,3,88,97,92,Week 3 good.,38
364,4,96,91,65,Week 4 good.,38
365,5,92,71,85,Week 5 good.,38
366,6,80,94,80,Week 6 good.,38
367,7,86,89,80,Week 7 good.,38
368,8,91,78,80,Week 8 good.,38
369,9,96,68,56,Week 9 good.,38
370,10,87,67,50,Week 10 good.,38
371,1,92,65,68,Week 1 good.,39
372,2,84,90,67,Week 2 good.,39
373,3,98,72,54,Week 3 good.,39
374,4,99,74,71,Week 4 good.,39
375,5,85,92,93,Week 5 good.,39
376,6,81,86,54,Week 6 good.,39
377,7,81,76,97,Week 7 good.,39
378,8,83,74,76,Week 8 good.,39
379,9,95,90,60,Week 9 good.,39
380,10,99,64,80,Week 10 good.,39
381,1,100,83,76,Week 1 good.,40
382,2,81,65,64,Week 2 good.,40
383,3,88,73,97,Week 3 good.,40
384,4,89,70,92,Week 4 good.,40
385,5,89,69,81,Week 5 good.,40
386,6,97,72,55,Week 6 good.,40
387,7,82,76,61,Week 7 good.,40
388,8,94,65,59,Week 8 good.,40
389,9,83,65,89,Week 9 good.,40
390,10,97,77,71,Week 10 good.,40
391,1,81,69,75,Week 1 good.,41
392,2,80,94,91,Week 2 good.,41
393,3,83,76,74,Week 3 good.,41
394,4,85,77,61,Week 4 good.,41
395,5,96,68,85,Week 5 good.,41
396,6,84,85,95,Week 6 good.,41
397,7,95,69,94,Week 7 good.,41
398,8,93,98,84,Week 8 good.,41
399,9,95,74,51,Week 9 good.,41
400,10,96,94,96,Week 10 good.,41
401,1,85,61,85,Week 1 good.,42
402,2,93,77,87,Week 2 good.,42
403,3,83,98,99,Week 3 good.,42
404,4,82,93,83,Week 4 good.,42
405,5,91,79,68,Week 5 good.,42
406,6,99,72,57,Week 6 good.,42
407,7,85,85,90,Week 7 good.,42
408,8,83,96,51,Week 8 good.,42
409,9,94,83,95,Week 9 good.,42
410,10,96,94,65,Week 10 good.,42
411,1,87,75,83,Week 1 good.,43
412,2,95,62,99,Week 2 good.,43
413,3,100,70,79,Week 3 good.,43
414,4,88,70,61,Week 4 good.,43
415,5,99,76,83,Week 5 good.,43
416,6,95,87,65,Week 6 good.,43
417,7,93,70,65,Week 7 good.,43
418,8,86,90,88,Week 8 good.,43
419,9,86,100,63,Week 9 good.,43
420,10,92,93,72,Week 10 good.,43
421,1,91,73,55,Week 1 good.,44
422,2,88,89,65,Week 2 good.,44
423,3,81,60,83,Week 3 good.,44
424,4,91,67,91,Week 4 good.,44
425,5,80,97,74,Week 5 good.,44
426,6,95,96,90,Week 6 good.,44
427,7,99,78,85,Week 7 good.,44
428,8,80,72,96,Week 8 good.,44
429,9,80,94,60,Week 9 good.,44
430,10,100,74,69,Week 10 good.,44
431,1,91,78,99,Week 1 good.,45
432,2,82,93,80,Week 2 good.,45
433,3,93,81,89,Week 3 good.,45
434,4,82,61,62,Week 4 good.,45
435,5,95,90,96,Week 5 good.,45
436,6,96,63,91,Week 6 good.,45
437,7,80,98,66,Week 7 good.,45
438,8,86,76,60,Week 8 good.,45
439,9,99,98,78,Week 9 good.,45
440,10,81,99,80,Week 10 good.,45
441,1,89,79,50,Week 1 good.,46
442,2,93,97,52,Week 2 good.,46
443,3,99,62,67,Week 3 good.,46
444,4,80,60,100,Week 4 good.,46
445,5,88,79,65,Week 5 good.,46
446,6,95,99,77,Week 6 good.,46
447,7,84,88,59,Week 7 good.,46
448,8,88,75,68,Week 8 good.,46
449,9,88,80,96,Week 9 good.,46
450,10,92,60,76,Week 10 good.,46
451,1,98,80,88,Week 1 good.,47
452,2,100,63,90,Week 2 good.,47
453,3,82,74,93,Week 3 good.,47
454,4,87,91,83,Week 4 good.,47
455,5,82,89,55,Week 5 good.,47
456,6,94,77,73,Week 6 good.,47
457,7,96,86,58,Week 7 good.,47
458,8,93,70,65,Week 8 good.,47
459,9,92,65,64,Week 9 good.,47
460,10,97,91,82,Week 10 good.,47
461,1,93,60,92,Week 1 good.,48
462,2,89,76,91,Week 2 good.,48
463,3,100,99,84,Week 3 good.,48
464,4,90,74,88,Week 4 good.,48
465,5,93,95,74,Week 5 good.,48
466,6,94,96,81,Week 6 good.,48
467,7,80,89,62,Week 7 good.,48
468,8,83,69,76,Week 8 good.,48
469,9,90,98,76,Week 9 good.,48
470,10,99,82,92,Week 10 good.,48
471,1,86,68,98,Week 1 good.,49
472,2,97,80,56,Week 2 good.,49
473,3,87,95,58,Week 3 good.,49
474,4,91,74,57,Week 4 good.,49
475,5,96,86,52,Week 5 good.,49
476,6,82,87,68,Week 6 good.,49
477,7,98,79,72,Week 7 good.,49
478,8,95,95,64,Week 8 good.,49
479,9,84,63,70,Week 9 good.,49
480,10,93,77,78,Week 10 good.,49
481,1,96,76,92,Week 1 good.,50
482,2,97,77,70,Week 2 good.,50
483,3,83,86,87,Week 3 good.,50
484,4,85,92,87,Week 4 good.,50
485,5,84,92,53,Week 5 good.,50
486,6,99,90,66,Week 6 good.,50
487,7,91,77,98,Week 7 good.,50
488,8,89,76,50,Week 8 good.,50
489,9,94,77,100,Week 9 good.,50
490,10,82,80,96,Week 10 good.,50
491,1,99,90,97,Week 1 good.,51
492,2,98,65,94,Week 2 good.,51
493,3,85,69,89,Week 3 good.,51
494,4,85,65,97,Week 4 good.,51
495,5,100,97,84,Week 5 good.,51
496,6,89,73,65,Week 6 good.,51
497,7,99,90,55,Week 7 good.,51
498,8,84,83,54,Week 8 good.,51
499,9,86,65,99,Week 9 good.,51
500,10,95,66,76,Week 10 good.,51
501,1,82,100,89,Week 1 good.,52
502,2,82,60,80,Week 2 good.,52
503,3,86,62,89,Week 3 good.,52
504,4,99,81,55,Week 4 good.,52
505,5,95,89,94,Week 5 good.,52
506,6,100,97,99,Week 6 good.,52
507,7,84,73,59,Week 7 good.,52
508,8,90,82,62,Week 8 good.,52
509,9,98,64,86,Week 9 good.,52
510,10,97,84,63,Week 10 good.,52
511,1,81,66,59,Week 1 good.,53
512,2,97,96,53,Week 2 good.,53
513,3,86,83,84,Week 3 good.,53
514,4,89,94,86,Week 4 good.,53
515,5,92,90,90,Week 5 good.,53
516,6,81,93,51,Week 6 good.,53
517,7,85,80,59,Week 7 good.,53
518,8,100,92,60,Week 8 good.,53
519,9,92,80,80,Week 9 good.,53
520,10,88,91,70,Week 10 good.,53
521,1,90,90,63,Week 1 good.,54
522,2,86,86,82,Week 2 good.,54
523,3,83,94,88,Week 3 good.,54
524,4,96,98,65,Week 4 good.,54
525,5,82,80,79,Week 5 good.,54
526,6,91,70,61,Week 6 good.,54
527,7,96,77,69,Week 7 good.,54
528,8,88,69,79,Week 8 good.,54
529,9,98,93,86,Week 9 good.,54
530,10,94,84,55,Week 10 good.,54
531,1,90,84,60,Week 1 good.,55
532,2,89,76,59,Week 2 good.,55
533,3,97,100,74,Week 3 good.,55
534,4,90,92,64,Week 4 good.,55
535,5,85,73,60,Week 5 good.,55
536,6,95,87,92,Week 6 good.,55
537,7,95,64,68,Week 7 good.,55
538,8,91,97,50,Week 8 good.,55
539,9,84,78,55,Week 9 good.,55
540,10,96,73,56,Week 10 good.,55
541,1,98,74,58,Week 1 good.,56
542,2,86,79,82,Week 2 good.,56
543,3,84,66,81,Week 3 good.,56
544,4,84,88,71,Week 4 good.,56
545,5,91,90,59,Week 5 good.,56
546,6,82,79,67,Week 6 good.,56
547,7,87,70,61,Week 7 good.,56
548,8,81,97,85,Week 8 good.,56
549,9,81,73,94,Week 9 good.,56
550,10,94,99,83,Week 10 good.,56
551,1,83,96,98,Week 1 good.,57
552,2,84,98,69,Week 2 good.,57
553,3,98,80,75,Week 3 good.,57
554,4,85,86,54,Week 4 good.,57
555,5,86,82,99,Week 5 good.,57
556,6,85,67,95,Week 6 good.,57
557,7,93,88,80,Week 7 good.,57
558,8,97,62,99,Week 8 good.,57
559,9,89,82,90,Week 9 good.,57
560,10,100,97,73,Week 10 good.,57
561,1,80,82,81,Week 1 good.,58
562,2,98,90,65,Week 2 good.,58
563,3,82,82,97,Week 3 good.,58
564,4,95,88,83,Week 4 good.,58
565,5,83,60,93,Week 5 good.,58
566,6,91,85,58,Week 6 good.,58
567,7,89,60,64,Week 7 good.,58
568,8,100,71,97,Week 8 good.,58
569,9,98,92,54,Week 9 good.,58
570,10,80,90,57,Week 10 good.,58
571,1,84,82,70,Week 1 good.,59
572,2,100,65,52,Week 2 good.,59
573,3,82,71,66,Week 3 good.,59
574,4,92,93,95,Week 4 good.,59
575,5,94,87,75,Week 5 good.,59
576,6,98,67,76,Week 6 good.,59
577,7,92,80,85,Week 7 good.,59
578,8,99,68,98,Week 8 good.,59
579,9,99,91,71,Week 9 good.,59
580,10,95,71,88,Week 10 good.,59
581,1,88,64,80,Week 1 good.,60
582,2,90,60,62,Week 2 good.,60
583,3,93,77,88,Week 3 good.,60
584,4,86,86,89,Week 4 good.,60
585,5,90,91,57,Week 5 good.,60
586,6,86,100,71,Week 6 good.,60
587,7,80,79,65,Week 7 good.,60
588,8,95,93,83,Week 8 good.,60
589,9,97,81,77,Week 9 good.,60
590,10,86,72,72,Week 10 good.,60
591,1,84,66,50,Week 1 good.,61
592,2,86,100,79,Week 2 good.,61
593,3,85,63,57,Week 3 good.,61
594,4,92,93,52,Week 4 good.,61
595,5,96,81,63,Week 5 good.,61
596,6,96,100,59,Week 6 good.,61
597,7,84,73,86,Week 7 good.,61
598,8,97,70,60,Week 8 good.,61
599,9,100,60,56,Week 9 good.,61
600,10,92,69,85,Week 10 good.,61
601,1,93,78,88,Week 1 good.,62
602,2,96,78,79,Week 2 good.,62
603,3,89,68,57,Week 3 good.,62
604,4,90,90,56,Week 4 good.,62
605,5,94,60,71,Week 5 good.,62
606,6,97,94,60,Week 6 good.,62
607,7,90,78,95,Week 7 good.,62
608,8,92,74,71,Week 8 good.,62
609,9,100,86,73,Week 9 good.,62
610,10,97,90,84,Week 10 good.,62
611,1,93,88,66,Week 1 good.,63
612,2,81,97,74,Week 2 good.,63
613,3,98,87,85,Week 3 good.,63
614,4,81,92,81,Week 4 good.,63
615,5,97,64,97,Week 5 good.,63
616,6,82,98,95,Week 6 good.,63
617,7,86,85,82,Week 7 good.,63
618,8,91,61,53,Week 8 good.,63
619,9,90,77,55,Week 9 good.,63
620,10,97,63,88,Week 10 good.,63
621,1,100,63,77,Week 1 good.,64
622,2,95,98,100,Week 2 good.,64
623,3,81,67,81,Week 3 good.,64
624,4,99,92,93,Week 4 good.,64
625,5,98,62,74,Week 5 good.,64
626,6,95,92,82,Week 6 good.,64
627,7,91,76,50,Week 7 good.,64
628,8,91,60,83,Week 8 good.,64
629,9,96,83,56,Week 9 good.,64
630,10,99,79,67,Week 10 good.,64
631,1,85,75,56,Week 1 good.,65
632,2,98,72,97,Week 2 good.,65
633,3,86,87,87,Week 3 good.,65
634,4,85,95,79,Week 4 good.,65
635,5,88,80,88,Week 5 good.,65
636,6,82,85,83,Week 6 good.,65
637,7,86,72,88,Week 7 good.,65
638,8,100,63,76,Week 8 good.,65
639,9,99,94,73,Week 9 good.,65
640,10,83,90,61,Week 10 good.,65
641,1,85,78,76,Week 1 good.,66
642,2,92,63,75,Week 2 good.,66
643,3,88,83,69,Week 3 good.,66
644,4,89,60,81,Week 4 good.,66
645,5,81,77,52,Week 5 good.,66
646,6,85,62,78,Week 6 good.,66
647,7,93,90,54,Week 7 good.,66
648,8,88,63,79,Week 8 good.,66
649,9,80,85,96,Week 9 good.,66
650,10,84,76,63,Week 10 good.,66
651,1,84,79,98,Week 1 good.,67
652,2,91,81,76,Week 2 good.,67
653,3,90,67,99,Week 3 good.,67
654,4,91,73,65,Week 4 good.,67
655,5,82,96,52,Week 5 good.,67
656,6,90,77,50,Week 6 good.,67
657,7,88,93,71,Week 7 good.,67
658,8,83,99,66,Week 8 good.,67
659,9,98,97,80,Week 9 good.,67
660,10,90,91,100,Week 10 good.,67
661,1,95,85,90,Week 1 good.,68
662,2,83,66,93,Week 2 good.,68
663,3,89,88,67,Week 3 good.,68
664,4,90,88,81,Week 4 good.,68
665,5,87,78,92,Week 5 good.,68
666,6,81,87,57,Week 6 good.,68
667,7,92,100,79,Week 7 good.,68
668,8,92,70,59,Week 8 good.,68
669,9,80,77,94,Week 9 good.,68
670,10,88,71,73,Week 10 good.,68
671,1,81,83,75,Week 1 good.,69
672,2,90,88,57,Week 2 good.,69
673,3,96,76,95,Week 3 good.,69
674,4,98,87,92,Week 4 good.,69
675,5,88,90,94,Week 5 good.,69
676,6,94,64,83,Week 6 good.,69
677,7,80,87,79,Week 7 good.,69
678,8,100,76,99,Week 8 good.,69
679,9,92,99,81,Week 9 good.,69
680,10,89,79,54,Week 10 good.,69
681,1,100,98,57,Week 1 good.,70
682,2,99,100,71,Week 2 good.,70
683,3,96,65,88,Week 3 good.,70
684,4,88,77,99,Week 4 good.,70
685,5,99,70,64,Week 5 good.,70
686,6,81,83,98,Week 6 good.,70
687,7,82,93,69,Week 7 good.,70
688,8,87,69,70,Week 8 good.,70
689,9,99,61,87,Week 9 good.,70
690,10,88,61,89,Week 10 good.,70
691,1,100,92,74,Week 1 good.,71
692,2,89,89,97,Week 2 good.,71
693,3,90,68,78,Week 3 good.,71
694,4,84,94,100,Week 4 good.,71
695,5,86,86,66,Week 5 good.,71
696,6,94,62,94,Week 6 good.,71
697,7,80,79,65,Week 7 good.,71
